model,dataset,method_key,method_role,family,dataset_family,task_type,n_folds,single_fold,n_train,n_test,n_features,n_cat,n_num,cat_frac,domain_auc,mean_ks,shift_bin,source_id,source_dataset,err_base_mean,err_method_mean,abs_delta_mean,near_perfect_base,relative_mask_reason,primary_effect_unmasked_pct,primary_effect_pct,sensitivity_effect_unmasked_pct,sensitivity_effect_pct,gap_window_order
bag8,tabred_delivery_eta__gap_maxdiff,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,1.0,0.2496496029927623,DAUC >= 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5533970341678441,0.5536223917675959,-0.0002253575997517,False,included_if_finite,-0.0407225889980789,-0.0407225889980789,-0.0407225889980789,-0.0407225889980789,3
bag8,tabred_homesite__gap_near,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,TabReD_gap,classification,1,True,8000,5000,299,16,283,0.0535117056856187,1.0,0.0437974647176086,DAUC >= 0.95,source::tabred_homesite,tabred_homesite,0.0459653482601032,0.0461099181159592,-0.0001445698558559,False,included_if_finite,-0.3145192222582668,-0.3145192222582668,-0.3145192222582668,-0.3145192222582668,1
bag8,tabred_homesite__gap_far,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,TabReD_gap,classification,1,True,8000,5000,299,16,283,0.0535117056856187,1.0,0.0830990647492541,DAUC >= 0.95,source::tabred_homesite,tabred_homesite,0.1040477118497644,0.1039687815907512,7.893025901317685e-05,False,included_if_finite,0.0758596778438963,0.0758596778438963,0.0758596778438963,0.0758596778438963,2
bag8,tabred_sberbank__gap_near,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,6282,2323,392,10,382,0.0255102040816326,1.0,0.2265311490062835,DAUC >= 0.95,source::tabred_sberbank,tabred_sberbank,0.2477962699761038,0.2764956441988011,-0.0286993742226973,False,included_if_finite,-11.581842707101666,-11.581842707101666,-11.581842707101666,-11.581842707101666,1
bag8,tabred_sberbank__gap_far,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,6282,2323,392,10,382,0.0255102040816326,1.0,0.235749592588427,DAUC >= 0.95,source::tabred_sberbank,tabred_sberbank,0.3592567871384393,0.4376232790963518,-0.0783664919579125,False,included_if_finite,-21.813503533814675,-21.813503533814675,-21.813503533814675,-21.813503533814675,2
bag8,tabred_weather__gap_near,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.0948655339805825,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.6630001348379588,1.6629468016290292,5.333320892964011e-05,False,included_if_finite,0.0032070477814385,0.0032070477814385,0.0032070477814385,0.0032070477814385,1
bag8,tabred_weather__gap_far,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.1012016963019497,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.6422974554212553,1.6448248739274656,-0.0025274185062102,False,included_if_finite,-0.1538952945379804,-0.1538952945379804,-0.1538952945379804,-0.1538952945379804,2
bag8,tabred_weather__gap_maxdiff,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.2280292319342118,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.7941261827455273,1.7945398166902076,-0.0004136339446803,False,included_if_finite,-0.0230548970667896,-0.0230548970667896,-0.0230548970667896,-0.0230548970667896,3
bag8,tabred_delivery_eta__gap_near,adversarial_lgbm_cal_iso_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,0.946211,0.1571228260314691,0.75 <= DAUC < 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5743301179802871,0.5721795860422423,0.0021505319380448,False,included_if_finite,0.3744417836918371,0.3744417836918371,0.3744417836918371,0.3744417836918371,1
bag8,tabred_delivery_eta__gap_far,adversarial_lgbm_cal_iso_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,0.999999625,0.2379337040655923,DAUC >= 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5576152367232049,0.5576152367232049,0.0,False,included_if_finite,0.0,0.0,0.0,0.0,2
